imdbId,title,releaseYear,releaseDate,genre,writers,actor_id,actors,director_id,directors,sequel,hitFlop
tt0307682,Yeh Dil Aashiqanaa,2002,N/A,Action | Romance,N/A,437,Supriya Pathak,65,Ken Ghosh,0,4
tt0307866,Filhaal...,2002,1-Feb-02,Drama,Meghna Gulzar,438,Nawazuddin Siddiqui,66,Samir Karnik,0,1
tt0308347,Haan Maine Bhi Pyaar Kiya,2002,15-Feb-02,Musical | Romance,Dharmesh Darshan (dialogue) | Dharmesh Darshan (screenplay) | Naseem Mukri (dialogue) | Raj Sinha (dialogue) | Raj Sinha (screenplay) | Raj Sinha (story),439,Naseeruddin Shah,67,Arshad Khan,0,2
tt0309087,Yeh Mohabbat Hai,2002,8-Feb-02,Action | Romance,Usmon Azim (screenplay) | Rafiq Talukdar (screenplay) | Milap Zaveri (dialogue),440,Randeep Hooda,68,Govind Menon,0,1
tt0310254,Tumko Na Bhool Paayenge,2002,24-Feb-02,Action | Drama | Mystery,Rumi Jaffery,441,Jaya Bhaduri,69,Rajat Kapoor,0,2
tt0311411,Kranti,2002,27-Mar-02,Drama,Sanjay Masoom (dialogue),442,Karisma Kapoor,70,Rajat Mukherjee,0,2
tt0312664,Escape from Taliban,2003,14-Feb-03,Drama | Thriller | War,Sushmita Banerjee (book) | Ujjwal Chatterjee (screenplay) | Shubhrajyoti (dialogue),443,Sharman Joshi,71,Apoorva Lakhia,0,1
tt0312883,Kya Yehi Pyaar Hai,2002,10-Apr-02,Comedy | Musical | Romance,Javed Siddiqui,444,Boman Irani,72,Anant Mahadevan,0,4
tt0313395,Kitne Door... Kitne Paas,2002,1-May-02,Comedy | Romance,Mehul Kumar (screenplay) | Mehul Kumar (story) | Imtiaz Patel (dialogue) | Imtiaz Patel (screenplay) | Yunus Sajawal (dialogue) | Yunus Sajawal (screenplay),445,Satish Shah,73,Sriram Raghavan,0,1
tt0313743,Vadh,2002,29-Mar-02,Mystery | Thriller,N/A,446,Arshad Warsi,74,Dharmesh Darshan,0,1
tt0313844,16-Dec,2002,22-Mar-02,Action | Drama | Mystery,Mani Shankar (dialogue) | Mani Shankar (screenplay) | Mani Shankar (story),447,Raj Babbar,75,Aditya Datt,0,4
tt0314006,Dum,2003,24-Jan-03,Crime,Mehran (dialogue) | Mehran (screenplay) | Eeshwar Nivas (screenplay) | Bunty Soorma (story),448,Shilpa Shetty,76,Suneel Darshan,0,2
tt0314008,Durga,2002,28-Feb-02,Action |Crime,N/A,449,Vivek Oberoi,77,Shashant Shah,0,1
tt0314186,Humko Tumse Pyaar Hai,2006,24-Feb-06,Romance | Thriller,Ashok Roy (screenplay) | Javed Siddiqui (dialogue) | Bunty Soorma (story),450,Anupam Kher,78,Sudhir Mishra,0,1
tt0315632,Road,2002,27-Sep-02,Thriller,Rajnish Thakur,451,Sameera Reddy,79,Harry Baweja,0,3
tt0315767,Angaar: The Fire,2002,N/A,Action,N/A,452,Sunny Deol,80,Tigmanshu Dhulia,0,1
tt0315777,Ansh: The Deadly Part,2002,2-Apr-02,Musical | Action,Rajan Johri (dialogue) | Rajan Johri (screenplay) | Rajan Johri (story),453,Shraddha Kapoor,81,Kundan Shah,0,1
tt0316154,Lal Salaam,2002,3-May-02,Musical | Action | Drama,Suresh Dwadeshiwar (story) | Arshad Jamal,454,Akshaye Khanna,82,Deepak Tijori,0,1
tt0316911,Yeh Kaisi Mohabbat,2002,31-May-02,Musical | Drama | Romance,Y.N. Kapoor,455,Manish Chaudhary,83,Shashanka Ghosh,0,1
tt0317811,Kasam,2001,20-Nov-01,Adventure | Drama | Crime,Madan Joshi (dialogue) | Jyothika Mittra (idea) | Faiz Saleem (screenplay),456,Sunil Shetty,84,Rahul Rawail,0,2
tt0319020,Awara Paagal Deewana,2002,21-Jun-02,Action | Comedy | Crime,Anand S. Vardhan (story) | Mangesh Kulkarni (story) | Anand S. Vardhan (screenplay) | Mangesh Kulkarni (screenplay) | Neeraj Vora (dialogue),457,Sohail Khan,85,Raksha Mistry,0,4
tt0319736,The Legend of Bhagat Singh,2002,7-Jun-02,Biography | Drama | History,Ranjit Kapoor (additional dialogue) | Piyush Mishra (Hindi dialogue) | Anjum Rajabali (English dialogue) | Anjum Rajabali (screenplay) | Rajkumar Santoshi (additional dialogue),458,Esha Deol,86,Nagesh Kukunoor,0,1
tt0321067,Ab Ke Baras,2002,10-May-02,Adventure | Fantasy | Thriller,Robin Bhatt (screenplay) | Sutanu Gupta (screenplay) | Ravi Rai (dialogue),459,Pavan Malhotra,87,Mahesh Manjrekar,0,2
tt0322653,Mere Yaar Ki Shaadi Hai,2002,7-Jun-02,Comedy | Drama | Musical,Sanjay Gadhvi | Mayur Puri (dialogue) | Mayur Puri (screenplay),460,Sonali Kulkarni,88,Suparn Verma,0,5
tt0323013,Lakshya,2004,18-Jun-04,War | Drama | Romance,Javed Akhtar (dialogue) | Javed Akhtar (screenplay) | Javed Akhtar (story) | Karan Kashyap (dialogue supervisor),461,Rimi Sen,89,Ashwini Chaudhary,0,2
tt0324951,23rd March 1931: Shaheed,2002,7-Jun-02,Biography | Drama | History,Sutanu Gupta (screenplay) | Sanjay Masoom (dialogue),462,Sushmita Sen,90,Hansal Mehta,0,1
tt0325041,Badhaai Ho Badhaai,2002,14-Jun-02,Comedy | Drama | Musical,Kavita Choudhary,463,Gracy Singh,91,Karan Razdan,0,1
tt0326576,Humraaz,2002,26-Jul-02,Action | Musical | Mystery,Shiraz Ahmed (dialogue) | Shiraz Ahmed (screenplay) | Shiraz Ahmed (story) | Shyam Goel (dialogue) | Shyam Goel (screenplay) | Shyam Goel (story),464,Kunal Khemu,92,Eeshwar Nivas,0,4
tt0326600,Maine Dil Tujhko Diya,2002,23-Aug-02,Romance | Action | Drama,Ranjeet Gupta (staff writer),465,Juhi Chawla,93,Hasnain Hyderabadwala,0,2
tt0326805,Chori Chori,2003,1-Aug-03,Comedy | Romance | Musical,N/A,466,Vinay Pathak,94,Subhash Ghai,0,1
tt0326983,Jaani Dushman: Ek Anokhi Kahani,2002,16-Aug-02,Action | Fantasy | Horror,Naveena Bhandari (screenplay) | Ravi Shankar Jaiswal (additional dialogue) | Rajkumar Kohli (screenplay) | Rajendra Singh 'Atish' (idea) | K.K. Singh (dialogue),467,Dharmendra,95,Guddu Dhanoa,0,2
tt0327004,Kuch Tum Kaho Kuch Hum Kahein,2002,28-Jun-02,Action | Drama | Romance,N/A,468,Mohammed Zeeshan Ayyub,96,Kabir Sadanand,0,1
tt0327005,Kyaa Dil Ne Kahaa,2002,28-Jun-02,Family | Romance,N/A,469,Ranvir Shorey,97,Kanti Shah,0,2
